,GRADE
2594,C
2595,B
2596,A
2597,A
2598,A
2599,B
2600,B
2601,A
2602,A
2603,A
2604,C
2605,C
2606,A
2607,C
2608,A
2609,A
2610,A
2611,A
2612,C
2613,A
2614,C
2615,A
2616,A
2617,C
2618,A
2619,A
2620,A
2621,B
2622,A
2623,C
2624,B
2625,A
2626,A
2627,A
2628,A
2629,B
2630,A
2631,B
2632,A
2633,C
2634,A
2635,C
2636,A
2637,A
2638,A
2639,A
2640,A
2641,B
2642,A
2643,B
2644,A
2645,A
2646,A
2647,A
2648,B
2649,A
2650,B
2651,A
2652,A
2653,A
2654,B
2655,A
2656,C
2657,A
2658,A
2659,A
2660,C
2661,C
2662,A
2663,B
2664,A
2665,A
2666,A
2667,A
2668,B
2669,A
2670,A
2671,A
2672,A
2673,A
2674,C
2675,B
2676,A
2677,A
2678,A
2679,A
2680,A
2681,A
2682,A
2683,A
2684,A
2685,A
2686,B
2687,A
2688,A
2689,A
2690,A
2691,A
2692,A
2693,A
2694,A
2695,B
2696,A
2697,A
2698,A
2699,A
2700,B
2701,A
2702,B
2703,A
2704,A
2705,A
2706,A
2707,A
2708,C
2709,A
2710,B
2711,C
2712,B
2713,C
2714,A
2715,A
2716,A
2717,C
2718,A
2719,A
2720,A
2721,A
2722,A
2723,A
2724,A
2725,A
2726,B
2727,A
2728,C
2729,A
2730,C
2731,A
2732,A
2733,B
2734,A
2735,B
2736,B
2737,A
2738,B
2739,C
2740,A
2741,A
2742,C
2743,A
2744,A
2745,B
2746,A
2747,A
2748,A
2749,C
2750,A
2751,A
2752,A
2753,A
2754,A
2755,C
2756,A
2757,C
2758,A
2759,A
2760,B
2761,A
2762,A
2763,C
2764,A
2765,A
2766,B
2767,A
2768,A
2769,A
2770,A
2771,A
2772,A
2773,B
2774,A
2775,C
2776,A
2777,A
2778,A
2779,A
2780,A
2781,A
2782,A
2783,A
2784,A
2785,A
2786,A
2787,A
2788,B
2789,A
2790,A
2791,B
2792,A
2793,B
2794,A
2795,A
2796,A
2797,B
2798,B
2799,B
2800,B
2801,A
2802,A
2803,C
2804,A
2805,A
2806,A
